2021/11/05 14:27:25 (WARNING) werkzeug                      :  * Debugger is active!
2021/11/05 14:27:25 (   INFO) werkzeug                      :  * Debugger PIN: 645-647-955
2021/11/05 14:27:26 (WARNING) werkzeug                      :  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
2021/11/05 14:53:15 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:15] "GET /getData?id=a0bfa64e-7d6d-42db-bd34-2ed15b7979a9 HTTP/1.1" 200 -
2021/11/05 14:53:21 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:21] "GET /getMenu HTTP/1.1" 200 -
2021/11/05 14:53:23 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:23] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 14:53:26 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:26] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 14:53:26 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:26] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:32 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:32] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 14:53:33 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:33] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:34 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:34] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:34 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:34] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 14:53:41 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:41] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 14:53:41 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:41] "GET /getData?id=62d7d2e8-e74d-4f87-94c1-f2f26c0e202b HTTP/1.1" 200 -
2021/11/05 14:53:41 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:41] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:43 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:43] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:43 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:43] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 14:53:49 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:49] "GET /getMenu HTTP/1.1" 200 -
2021/11/05 14:53:54 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:54] "GET /getData?id=5dc8cfdf-63d8-4e3f-9028-51662433b3db HTTP/1.1" 200 -
2021/11/05 14:53:56 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:56] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 14:53:56 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:56] "GET /getData?id=a0bfa64e-7d6d-42db-bd34-2ed15b7979a9 HTTP/1.1" 200 -
2021/11/05 14:53:56 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:56] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:54:00 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:54:00] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:54:00 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:54:00] "GET /getData?id=a0bfa64e-7d6d-42db-bd34-2ed15b7979a9 HTTP/1.1" 200 -
2021/11/05 14:55:20 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:55:20] "GET /getData?id=a0bfa64e-7d6d-42db-bd34-2ed15b7979a9 HTTP/1.1" 200 -
2021/11/05 14:55:20 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:55:20] "GET /getMenu HTTP/1.1" 200 -
2021/11/05 15:01:39 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:01:39] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 15:01:39 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:01:39] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 15:01:39 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:01:39] "POST /insert HTTP/1.1" 200 -
2021/11/05 15:11:57 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:11:57] "GET /getMenu HTTP/1.1" 200 -
2021/11/05 15:11:58 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:11:58] "GET /getData?id=62d7d2e8-e74d-4f87-94c1-f2f26c0e202b HTTP/1.1" 200 -
2021/11/05 15:12:00 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:12:00] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 15:12:00 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:12:00] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 15:12:01 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:12:01] "POST /insert HTTP/1.1" 200 -
2021/11/05 15:31:38 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:31:38] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 15:31:39 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:31:39] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 15:31:39 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 15:31:39] "POST /insert HTTP/1.1" 200 -
